year,price
1993,1.0707777777777778
1994,1.0778333333333332
1995,1.1566666666666665
1996,1.2445
1997,1.2449999999999999
1998,1.07225
1999,1.1751666666666667
2000,1.5245
2001,1.4661666666666664
2002,1.3818333333333335
2003,1.6010833333333332
2004,1.8912500000000003
2005,2.3121666666666667
2006,2.6150833333333328
2007,2.8455
2008,3.3050833333333336
2009,2.396666666666667
2010,2.833583333333334
2011,3.576416666666667
2012,3.686166666666667
2013,3.5764166666666672
2014,3.442
2015,2.513
2016,2.252500000000001
2017,2.5303333333333335
